City,Year,Month,Bus,MRT,HSR
Kaohsiung,2012,1,2769422,4903023,704744
Kaohsiung,2012,2,2823929,4639258,579978
Kaohsiung,2012,3,3039619,4238529,593114
Kaohsiung,2012,4,2941685,4360598,584481
Kaohsiung,2012,5,3169914,4390791,584768
Kaohsiung,2012,6,2809141,4312096,569908
Kaohsiung,2012,7,3004637,5112840,661813
Kaohsiung,2012,8,2902623,4823858,626630
Kaohsiung,2012,9,3064549,4561470,614822
Kaohsiung,2012,10,3241615,4758650,619596
Kaohsiung,2012,11,3102925,4594418,610195
Kaohsiung,2012,12,3619111,5784850,689134
Kaohsiung,2013,1,2954481,4792646,578117
Kaohsiung,2013,2,2709229,5339314,683192
Kaohsiung,2013,3,3083110,4849338,655467
Kaohsiung,2013,4,3175889,4705746,643453
Kaohsiung,2013,5,3189599,4690789,632339
Kaohsiung,2013,6,2978824,4846562,640824
Kaohsiung,2013,7,2980115,5218612,680778
Kaohsiung,2013,8,3016259,5421920,700277
Kaohsiung,2013,9,3443273,5045535,669688
Kaohsiung,2013,10,3791243,5357413,643914
Kaohsiung,2013,11,3910853,4890208,617007
Kaohsiung,2013,12,4194101,5548220,651119
Kaohsiung,2014,1,3691943,5199190,667829
Kaohsiung,2014,2,3674815,5346222,611512
Kaohsiung,2014,3,4111860,5069447,621251
Kaohsiung,2014,4,4060818,4854796,645674
Kaohsiung,2014,5,4310056,5100243,673791
Kaohsiung,2014,6,4069139,4920170,631938
Kaohsiung,2014,7,4008609,5356062,677771
Kaohsiung,2014,8,3791665,5190095,668900
Kaohsiung,2014,9,4140197,4697489,632497
Kaohsiung,2014,10,4650479,5166738,675527
Kaohsiung,2014,11,4427876,5019088,637060
Kaohsiung,2014,12,4784512,5388484,666002
Kaohsiung,2015,1,4374992,5364052,629557
Kaohsiung,2015,2,3493630,5264040,719813
Kaohsiung,2015,3,4528331,4946893,643099
Kaohsiung,2015,4,4165968,4770775,670018
Kaohsiung,2015,5,4397952,4975529,673695
Kaohsiung,2015,6,4078335,4773312,656772
Kaohsiung,2015,7,4107188,5208462,681333
Kaohsiung,2015,8,3957667,5101326,675361
Kaohsiung,2015,9,4041390,4760000,661439
Kaohsiung,2015,10,4520688,5009270,677355
Kaohsiung,2015,11,4348855,4743534,651629
Kaohsiung,2015,12,4627044,5286301,729871
Kaohsiung,2016,1,3993672,5059680,702326
Kaohsiung,2016,2,3621867,5450136,719698
Kaohsiung,2016,3,4334852,4821327,660416
Kaohsiung,2016,4,4080570,4904412,709788
Kaohsiung,2016,5,4367485,5435496,695448
Kaohsiung,2016,6,4087222,5357256,717491
Kaohsiung,2016,7,3714668,5570010,727008
Kaohsiung,2016,8,4099956,5798783,724096
Kaohsiung,2016,9,3832365,4676366,667785
Kaohsiung,2016,10,4403370,5322272,740053
Kaohsiung,2016,11,4392232,5050419,692125
Kaohsiung,2016,12,4526421,5656447,751524
Kaohsiung,2017,1,4704965,5755583,811726
Kaohsiung,2017,2,3803972,5462915,675683
Kaohsiung,2017,3,4232590,5390762,741666
Kaohsiung,2017,4,3860577,5144807,724013
Kaohsiung,2017,5,4297194,5148639,757467
Kaohsiung,2017,6,4038208,4834139,662451
Kaohsiung,2017,7,3685590,5224684,732622
Kaohsiung,2017,8,4064720,5611644,787479
Kaohsiung,2017,9,4166802,4752268,665105
Kaohsiung,2017,10,4262710,5341828,797569
Kaohsiung,2017,11,4343944,5210552,721498
Kaohsiung,2017,12,4977630,6443522,786555
Kaohsiung,2018,1,4722488,5704657,691430
Kaohsiung,2018,2,4071526,6108497,787392
Kaohsiung,2018,3,4575806,5424182,732746
Kaohsiung,2018,4,4215185,5612795,789734
Kaohsiung,2018,5,4441198,5258005,723922
Kaohsiung,2018,6,4136478,5266282,740053
Kaohsiung,2018,7,4183087,5816912,752856
Kaohsiung,2018,8,3857284,5646067,764366
Kaohsiung,2018,9,4310547,5217845,748535
Kaohsiung,2018,10,4543069,5653880,750393
Kaohsiung,2018,11,4482551,5674758,786908
Kaohsiung,2018,12,4550691,6700862,849021
Kaohsiung,2019,1,4084740,5854512,765267
Kaohsiung,2019,2,3716630,6272049,842951
Kaohsiung,2019,3,4313862,5788551,785565
Kaohsiung,2019,4,4130607,5547306,805200
Kaohsiung,2019,5,4403603,5511547,762397
Kaohsiung,2019,6,3942096,5459816,792887
Kaohsiung,2019,7,3937506,5753324,786342
Kaohsiung,2019,8,3668746,5594961,775333
Kaohsiung,2019,9,4045801,5286664,763846
Kaohsiung,2019,10,4419464,5748779,799304
Kaohsiung,2019,11,4322872,5576728,774794
Kaohsiung,2019,12,4346453,6344540,805038
Kaohsiung,2020,1,3651514,5836242,913646
Kaohsiung,2020,2,2640178,3814724,528661
Kaohsiung,2020,3,3180107,3433758,453796
Kaohsiung,2020,4,2753159,2742365,391799
Kaohsiung,2020,5,3099519,3309756,474782
Kaohsiung,2020,6,3284145,4011768,625260
Kaohsiung,2020,7,3336502,4551167,681863
Kaohsiung,2020,8,3241188,4782192,745755
Kaohsiung,2020,9,3495453,4254703,666141
Kaohsiung,2020,10,3611133,4735576,755197
Kaohsiung,2020,11,3564282,4520636,713008
Kaohsiung,2020,12,3730360,4896914,764554
Kaohsiung,2021,1,3201631,4623583,602924
Kaohsiung,2021,2,2604644,4748452,658503
Kaohsiung,2021,3,3526051,4531847,673954
Kaohsiung,2021,4,3259565,4539953,744812
Kaohsiung,2021,5,2256013,2501759,373901
Kaohsiung,2021,6,691956,749105,78085
Kaohsiung,2021,7,939710,1143550,166132
Kaohsiung,2021,8,1384726,2128658,321264
Kaohsiung,2021,9,2150860,2798718,425769
Kaohsiung,2021,10,2754548,3832482,565922
Kaohsiung,2021,11,2824624,3936109,621783
